'EBSBSV50SRTQ1H3ZH', 'white', 'manual', 'type5', 9, 8, '998340804'
'UBK6KLVI05CQ4WXE1', 'chrome', 'manual', 'type3', 21, 5, '084522432'
'BOBPP39PZNM9JABG2', 'chrome', 'automatic', 'type1', 23, 9, '759562721'
'LZG1FB1FN5SFEDRN7', 'silver', 'automatic', 'type4', 13, 8, '527219246'
'UBFQQU5WT2SWQPOKC', 'red', 'manual', 'type3', 10, 9, '444590411'
'23GQZA8HSB6VKF9PE', 'white', 'manual', 'type5', 31, 5, '926173824'
'V7EAK4CQI6ZDBVRD7', 'black', 'manual', 'type2', 26, 8, '554832189'
'WLO3HVRYTYYUJLYBU', 'red', 'automatic', 'type1', 27, 9, '340319807'
'J0ZTYRY95M9P9WOZJ', 'silver', 'manual', 'type1', 4, 7, '765940919'
'J4E7O89FEXON6PYMY', 'chrome', 'automatic', 'type5', 34, 1, '725079117'
'2XKAEDRY1ZVCTG4YI', 'red', 'automatic', 'type2', 30, 9, '797082161'
'YW19793JVTC48XJTY', 'black', 'automatic', 'type5', 20, 8, '759562721'
'VRLRNMA90FMPS9K9E', 'white', 'automatic', 'type3', 4, 7, '785050181'
'L64I8HDWR1GS3SDW9', 'blue', 'manual', 'type4', 34, 1, '785050181'
'WU6EHXJJG1XFXTQQ7', 'silver', 'automatic', 'type4', 17, 8, '872975129'
'3CGFXQTOQ7ZSCQZRI', 'silver', 'manual', 'type4', 0, 4, '358306826'
'N777D1CMVTAXEYUWF', 'red', 'automatic', 'type2', 35, 7, '998340804'
'RNH7X0LWF371EL670', 'white', 'manual', 'type5', 45, 4, '084522432'
'X6TYTDEMXVIFEQFB1', 'blue', 'manual', 'type1', 31, 5, '308345113'
'ON3S9QH5OC41F44AH', 'black', 'automatic', 'type1', 7, 7, '848497009'
'MB4A9TQY9SZ3XJYPC', 'white', 'automatic', 'type5', 4, 7, '693622499'
'DJ7M0HZND5P15I3XU', 'white', 'manual', 'type2', 5, 4, '929128186'
'UQI79GRZMVE6Y9VEU', 'silver', 'manual', 'type3', 21, 5, '533344025'
'YUOA49NNC3GF1V4Z6', 'blue', 'manual', 'type1', 15, 9, '031626275'
'NZX6FCLBHB55EBE8N', 'silver', 'automatic', 'type1', 5, 4, '370384418'
'8ADVYY8EXTT5B9PBN', 'yellow', 'manual', 'type1', 5, 4, '308345113'
'NG9DXX2LIEILP8257', 'white', 'manual', 'type2', 34, 1, '599714109'
'KIY1MQHSS38WJ2E7F', 'blue', 'manual', 'type1', 9, 8, '819560832'
'0KJGMU3HHJ2D68SA5', 'chrome', 'manual', 'type5', 9, 8, '848497009'
'HZVT4ID51N9MO3IG3', 'white', 'manual', 'type4', 19, 8, '602912296'
'UNVZ48ZMDGP6KYY5U', 'yellow', 'automatic', 'type3', 45, 4, '340319807'
'RHVFKMLHQMZAJ8DVK', 'yellow', 'manual', 'type5', 12, 5, '872975129'
'IO13U653YL0K61R07', 'blue', 'automatic', 'type2', 7, 7, '705496969'
'VMX8BYJ6ANHH48F8S', 'blue', 'automatic', 'type1', 34, 1, '693622499'
'K5GKM3XNLEJOEIKEE', 'yellow', 'manual', 'type2', 47, 1, '056939907'
'2N7QE3EAUQDM0BRFB', 'yellow', 'automatic', 'type2', 43, 4, '926173824'
'732QFUO3ZK7AAP0SJ', 'silver', 'automatic', 'type2', 12, 5, '879183680'
'KEOXF2LE1T28MRV3L', 'white', 'manual', 'type5', 38, 4, '929128186'
'2AQ51C87DAS3PBQSN', 'silver', 'manual', 'type4', 15, 9, '705496969'
'93PUYK38XE77TRWGB', 'silver', 'automatic', 'type2', 24, 5, '056939907'
'NMS74Y566J8UGD1XA', 'chrome', 'automatic', 'type1', 0, 4, '527219246'
'SBVE01HYHMBAJ1WX6', 'blue', 'automatic', 'type3', 5, 4, '031626275'
'S7OMQ47WNK3HVQXRL', 'red', 'automatic', 'type3', 21, 5, '302515129'
'URLQOXLP1FU5TACI7', 'silver', 'manual', 'type5', 18, 4, '371272654'
'OTRGD1SFNEO7FUI0V', 'blue', 'automatic', 'type4', 19, 8, '302515129'
'W2QMQW11S65Q78I3B', 'red', 'automatic', 'type4', 41, 5, '308345113'
'4CEMGHW8S6DNN0FJI', 'blue', 'automatic', 'type5', 11, 9, '725079117'
'PCFUG2QZP9SYF3LSG', 'red', 'manual', 'type2', 15, 9, '656070158'
'EAJGE9Y2JNEI7Y0MO', 'black', 'manual', 'type4', 15, 9, '647798981'
'B5XZZN5FCXPFL98V6', 'chrome', 'manual', 'type4', 15, 9, '371272654'
'54GKZMTGOU27G4XPC', 'white', 'automatic', 'type4', 10, 9, '554832189'
'E1C84S3Z3T4RC201T', 'white', 'manual', 'type3', 19, 8, '656070158'
'FKQS66EKPGHARBT16', 'red', 'manual', 'type5', 25, 4, '084522432'
'792SHX5WKQ30CA2UM', 'silver', 'manual', 'type2', 32, 9, '056939907'
'V3CHCYGFM4SH4RLR7', 'white', 'automatic', 'type2', 14, 8, '444590411'
'E2NB2R8AOK6GR3RWW', 'blue', 'manual', 'type2', 38, 4, '031626275'
'F3KFIWKQIVQ9CGWGB', 'red', 'manual', 'type4', 3, 7, '594532400'
'4HFEILLA0N68JEQ40', 'blue', 'manual', 'type1', 45, 4, '656070158'
'HTVJ7SAVISDAUVYU5', 'silver', 'automatic', 'type3', 46, 4, '444590411'
'41A1ICSVMJVSIXO6T', 'silver', 'manual', 'type4', 35, 7, '344259091'
'BREZ9BWM238A1H4QR', 'red', 'manual', 'type5', 38, 4, '444590411'
'JCQB47QNLXMIEYIYF', 'silver', 'manual', 'type1', 8, 9, '203332352'
'IWBXW5451DTUY01CE', 'blue', 'automatic', 'type4', 48, 4, '370384418'
'HUVSO0AE2MLXQN0LB', 'white', 'automatic', 'type2', 49, 5, '725079117'
'V39P9W6EREIX4RHRR', 'white', 'manual', 'type1', 16, 5, '146632965'
'STFTMUGAR6PQYR0YZ', 'silver', 'automatic', 'type4', 29, 4, '806194770'
'J7ZX0RXWJ9ZSMJBEV', 'chrome', 'automatic', 'type2', 46, 4, '926173824'
'CJX0RQ60N5R0RLWLF', 'yellow', 'automatic', 'type4', 9, 8, '797082161'
'BOQV1BCVQ1J1KQVZL', 'blue', 'manual', 'type1', 18, 4, '594532400'
'QTD8YRFTENR3XS9M1', 'blue', 'manual', 'type3', 1, 7, '458617609'
'IRDYABQ1CLPO1B2XW', 'white', 'automatic', 'type1', 3, 7, '806194770'
'K5S5CVR29VPSRMAI1', 'black', 'manual', 'type4', 24, 5, '203332352'
'3T9WBQT5M65GR7NWJ', 'red', 'automatic', 'type2', 6, 4, '703684548'
'NRQEMRH68QRCQ31N0', 'black', 'automatic', 'type5', 38, 4, '785050181'
'KNG10BGTWH9JCQU6V', 'black', 'manual', 'type3', 17, 8, '340319807'
'XA3B382UJ18H2FP73', 'white', 'manual', 'type4', 29, 4, '358306826'
'WC9MUWTF9LI8NHYMO', 'white', 'automatic', 'type5', 9, 8, '926173824'
'H9CTMBENFHVG2XV4M', 'white', 'automatic', 'type2', 8, 9, '112889128'
'JZJV68GRA5JFKC32U', 'white', 'manual', 'type1', 47, 1, '748480840'
'ALEBHVZX2JPIPEY6S', 'red', 'manual', 'type1', 30, 9, '302515129'
'29PT8AFEZ14UPDU8V', 'chrome', 'manual', 'type5', 22, 7, '748480840'
'WE2H0CU89DPVGD4PR', 'silver', 'manual', 'type3', 49, 5, '656070158'
'404360GLJI6M803X7', 'black', 'manual', 'type3', 10, 9, '302515129'
'9AJFYQA5V2BDBCNO4', 'blue', 'automatic', 'type5', 17, 8, '146632965'
'JL0IIBPLXEQJXE5BX', 'white', 'manual', 'type3', 47, 1, '112889128'
'CUD7VO0QODKNZL7VT', 'yellow', 'manual', 'type4', 26, 8, '084522432'
'B4K80WWKSA7NNZG2J', 'yellow', 'automatic', 'type3', 28, 4, '217662727'
'40QHEX5T05KEKM6K9', 'blue', 'automatic', 'type3', 26, 8, '594532400'
'6Y9OMQNJVLMN2BLC9', 'black', 'automatic', 'type2', 13, 8, '112889128'
'L74J5124UAYEG6J9N', 'blue', 'manual', 'type1', 32, 9, '656070158'
'RVYDGT8ZS0OI2BRB2', 'blue', 'automatic', 'type3', 9, 8, '806194770'
'U7WO1OHC5G477JJWW', 'red', 'automatic', 'type2', 31, 5, '929128186'
'90K604FQWXHFF922O', 'red', 'manual', 'type1', 44, 4, '775748225'
'6S95T07V786XKBCU2', 'silver', 'manual', 'type3', 36, 7, '527219246'
'QZTZ0BSGWXD4KM3KS', 'yellow', 'manual', 'type2', 24, 5, '806194770'
'CBVPKTP8BSX2LGY1K', 'blue', 'automatic', 'type5', 35, 7, '518691559'
'DX1SUWQD1YM1C8BO7', 'chrome', 'automatic', 'type1', 2, 8, '522405632'
'UDWBP9MJBDF1NMSWS', 'yellow', 'manual', 'type1', 5, 4, '830883793'
'8KKZ9781I4GKPQ0OQ', 'red', 'manual', 'type2', 16, 5, '602912296'
'7F6EKHI4JYNSGO342', 'yellow', 'manual', 'type5', 22, 7, '217662727'
